Museum,Location,City
Grier-Musser Museum,"403 S Bonnie Brae St
Los Angeles, CA 90057
(34.060907, -118.270813)",Los Angeles
Western Conservancy Of Nursing History,"701 E Foothill Blvd
Azusa, CA 91702
(34.133469, -117.894752)",Azusa
Adamson House Museum,"23200 Pacific Coast Hwy
Malibu, CA 90265
(34.034971, -118.680574)",Malibu
Center Museum,"3905 Inglewood Blvd
Los Angeles, CA 90066
(34.003918, -118.427087)",Los Angeles
Kidspace Childrens Museum,"480 N Arroyo Blvd
Pasadena, CA 91103
(34.15685, -118.167555)",Pasadena
Acrylic Museum,"2360 S Robertson Blvd
Los Angeles, CA 90034
(34.040206, -118.387873)",Los Angeles
Whittier Aviation Museum,"8155 Byron Rd
Whittier, CA 90606
(33.965162, -118.05176)",Whittier
Antelope Valley Indian Museum,"1051 W. Ave. M, Suite 201
Lancaster, CA 93534
(34.762484, -118.147502)",Lancaster
Will Rogers State Historic Park Museum,"1501 Will Rogers State Park Road
Pacific Palisades, CA 90272
(34.054399, -118.512496)",Pacific Palisades
California Museum Of Sciences And Industry,"700 Exposition Park Dr
Los Angeles, CA 90037
(34.015292, -118.286306)",Los Angeles
Museum Center,"1621 Venice Blvd
Venice, CA 90291
(33.997179, -118.446628)",Venice
Bunny Museum,"1933 Jefferson Dr
Pasadena, CA 91104
(34.170135, -118.110643)",Pasadena
African American Fire Fighter Museum,"1401 S Central Ave
Los Angeles, CA 90021
(34.028443, -118.246822)",Los Angeles
World Boxing Hall Of Fame,"2722 Doubletree Ln
Rowland Heights, CA 91748
(33.970234, -117.899651)",Rowland Heights
Schindler House,"835 N Kings Rd
West Hollywood, CA 90069
(34.086409, -118.371733)",West Hollywood
Vintage Wings West,"25350 Magic Mountain Pkwy Suite130
Valencia, CA 91355
(34.42402, -118.577805)",Valencia
Film Music Museum,"15760 Ventura Blvd
Encino, CA 91436
(34.155425, -118.476601)",Encino
Frederick R Weisman Art Foundation,"265 N Carolwood Dr
Los Angeles, CA 90077
(34.082936, -118.427139)",Los Angeles
Museum Of Jurassic Technology,"9341 Venice Blvd
Culver City, CA 90232
(34.025854, -118.394592)",Culver City
Rancho Los Alamitos Museum And Foundati,"6400 E Bixby Hill Rd
Long Beach, CA 90815
(33.777642, -118.106936)",Long Beach
Vincent Price Art Museum,"1301 Avenida Cesar Chavez
Monterey Park, CA 91754
(34.03911, -118.148261)",Monterey Park
Muller House Museum,"1542 S Beacon St
San Pedro, CA 90731
(33.729961, -118.280484)",San Pedro
Raymond M Alf Museum,"1175 W Baseline Rd
Claremont, CA 91711
(34.121637, -117.73936)",Claremont
Western Museum Of Flight,"3315 Airport Dr
Torrance, CA 90505
(33.799015, -118.340336)",Torrance
International Printing Museum,"315 W Torrance Blvd
Carson, CA 90745
(33.842093, -118.282334)",Carson
Computer Museum Of America,"22254 Craggy View St
Chatsworth, CA 91311
(34.255891, -118.612175)",Chatsworth
Historic Italian Hall Foundation,"1121 Cumbre Alta Ct
Pacific Palisades, CA 90272
(34.068116, -118.554566)",Pacific Palisades
Antelope Valley Rural Museum Of History,"44727 N Fig Avenue
Lancaster, CA 93536
(34.694575, -118.14282)",Lancaster
Yanks Air Museum,"13470 Dalewood St
Baldwin Park, CA 91706
(34.066191, -117.98159)",Baldwin Park
Petterson Museum Of Intercultural Arts,"660 Avery Rd
Claremont, CA 91711
(34.099404, -117.724884)",Claremont
Shelbi Ranch Western Wear Museum,"214 West Olympic Boulevard
Los Angeles, CA 90015
(34.041201, -118.257822)",Los Angeles
Museum Of Death,"6031 Hollywood Blvd
Los Angeles, CA 90028
(34.101655, -118.32154)",Los Angeles
Traveling Space Museum,"4658 Don Lorenzo Dr Apt D
Los Angeles, CA 90008
(34.001712, -118.356526)",Los Angeles
Pacific Asia Museum,"46 N Los Robles Ave
Pasadena, CA 91101
(34.146763, -118.141447)",Pasadena
Wallis Annenberg Center For The Performing Arts,"9390 N Santa Monica Blvd
Beverly Hills, CA 90210
(34.071921, -118.401689)",Beverly Hills
Sepulveda House,"622 N Main St
Los Angeles, CA 90012
(34.057768, -118.238255)",Los Angeles
International Printing Museum Foundation,"5800 S Eastern Ave Ste 400
Commerce, CA 90040
(33.985341, -118.162064)",Commerce
Los Angeles Museum Of The Holocaust Martyrs Memorial,"6435 Wilshire Blvd
Los Angeles, CA 90048
(34.063889, -118.369603)",Los Angeles
Don Wallace Museum,"5225 Middlecrest Rd
Rancho Palos, CA 90275
(33.765958, -118.366134)",Rancho Palos
Queen Mary Hotel/Museum,"1126 Queens Hwy
Long Beach, CA 90802
(33.752205, -118.191147)",Long Beach
Museum Of Contemporary Art (Moca),"250 S Grand Ave
Los Angeles, CA 90012
(34.053847, -118.250393)",Los Angeles
Ventura County Sports Hall Of Fame,"916 Essex St
Glendora, CA 91740
(34.115348, -117.845551)",Glendora
Zimmer Children’s Museum,"6505 Wilshire Boulevard, Suite 100
Los Angeles, CA 90048
(34.064058, -118.370535)",Los Angeles
Ace Museum,"5514 Wilshire Blvd
Los Angeles, CA 90036
(34.062254, -118.348638)",Los Angeles
J. Paul Getty Trust,"1200 Getty Center Dr
Los Angeles, CA 90049
(34.077826, -118.475861)",Los Angeles
Thunder Air Museum,"8838 W Avenue
Lancaster, CA 93536
(34.761909, -118.288661)",Lancaster
Raymond Alf Museum,"1175 West Baseline Road
Claremont, CA 91711
(34.121637, -117.73936)",Claremont
Franklin D. Murphy Sculpture Garden,"10899 Wilshire Blvd
Los Angeles, CA 90024
(34.058728, -118.443894)",Los Angeles
Museum Of Flying,"2425 Olympic Blvd
Santa Monica, CA 90404
(34.027731, -118.470995)",Santa Monica
George Anderson House Museum,"215 E Lime Ave
Monrovia, CA 91016
(34.148135, -117.998123)",Monrovia
Lanterman House,"4420 Encinas Dr
La Ca&ntilde;ada Flintridge, CA 91011
(34.204972, -118.206417)",La Cañada Flintridge
Los Angeles United Methodist Museum Of Social Justice,"115 Paseo De La Plz
Los Angeles, CA 90012
(34.055626, -118.239525)",Los Angeles
Downey Museum Of Art,"10217 Chaney Ave
Downey, CA 90241
(33.944422, -118.112581)",Downey
Museum Of Tolerance,"9786 W Pico Blvd
Los Angeles, CA 90035
(34.053953, -118.40218)",Los Angeles
Western States Jewish History,"14011 Ventura Blvd Ste 205
Sherman Oaks, CA 91423
(34.149126, -118.437837)",Sherman Oaks
Native Culture Preservation Society,"8130 Jason Ave
West Hills, CA 91304
(34.218068, -118.635326)",West Hills
Southwest Museum-American Indian,"234 Museum Dr
Los Angeles, CA 90065
(34.099625, -118.206524)",Los Angeles
Lomita Railroad Museum,"2137 250th St
Lomita, CA 90717
(33.798224, -118.318599)",Lomita
A Window Between Worlds,"710 4th Ave Apt 5
Venice, CA 90291
(33.994911, -118.472686)",Venice
County Of La Page Museum,"2900 Exposition Blvd
Los Angeles, CA 90018
(34.021173, -118.327748)",Los Angeles
Broad Museum,"10900 Wilshire Blvd Fl 12
Los Angeles, CA 90024
(34.058685, -118.444067)",Los Angeles
Ararat-Eskijian Museum,"15105 Mission Hills Rd
Mission Hills, CA 91345
(34.281426, -118.462403)",Mission Hills
Huntington Library Art Collections Bota,"1151 Oxford Rd
San Marino, CA 91108
(34.128925, -118.109705)",San Marino
Watts Towers Arts Center,"200 N Main St
Los Angeles, CA 90012
(34.053331, -118.242325)",Los Angeles
Hollywood Wax Museum,"6767 Hollywood Blvd
Los Angeles, CA 90028
(34.101546, -118.338279)",Los Angeles
South Gate Civic Center Museum,"8680 California Ave
South Gate, CA 90280
(33.955026, -118.20596)",South Gate
Lecoque Museum,"8079 Selma Ave
Los Angeles, CA 90046
(34.098746, -118.366891)",Los Angeles
Valley Institute Of Visual Art,"13261 Moorpark St
Sherman Oaks, CA 91423
(34.150366, -118.421939)",Sherman Oaks
Childrens World Museum,"3700 4th Avenue
La Crescenta, CA 91214
(34.233643, -118.259624)",La Crescenta
Craft in America Center,"8415 W. Third Street
Los Angeles, CA 90048
(34.073061, -118.373663)",Los Angeles
