CENTER NAME,COUNCIL DISTRICT,PHONE,EMAIL,WEBSITE,HOURS,PARKING,ART CLASSES,DESCRIPTION,ADDRESS
Sun Valley Youth Arts Center,6,(818) 252-4619,Jesus.Rangel@LACity.org,http://culturela.org/cultural-centers/sun-valley-youth-arts-centerstone-house/,"Monday - Friday 9-6PM, Saturdays 9-3PM ",Limited facility parking and street parking,yes,"Opened in 2006, the Sun Valley Youth Arts Center mission is to provide quality visual and performing arts programming to the community of Sun Valley and schools in the greater Los Angeles area. The facility functions as a cultural Mecca, a utopian learning center for youth to indulge in a fine arts experience with a variety of workshops such as painting, drawing, digital imaging, graphic design, game design, photography, movie and video production, toy design, screen printing, street art, mix media, culinary arts and cake decorating, sculpture,  ceramics, music, and theatre classes. The capacity of each discipline will entice students to learn the fundamentals of each medium and genre of the visual and performing arts.

The Center also celebrates Sun Valleyâs multicultural communities with numerous cultural events throughout the year such as DÃa de los Muertos, Afro-Cuban Music and Arts Festival, and Asian and Chinese New Years celebrations.

In addition, the facility is utilized as a meeting place for artists and organizations to entertain. We hope to create a local artist market to help promote local and international artists to exhibit their work in the Sun Valley Youth Arts Center Gallery and enhance the art experience with the community.

The Sun Valley Youth Arts Center is a wonderful asset to the existing landscape of Sun Valley and will continue to build bridges with the surrounding communities and schools in the City of Los Angeles, Council District 6.

Since 1987, the Stone House is registered as one of Los Angeles historical landmarks and serves as administrative office space and a digital lab for the Sun Valley Youth Arts Center.","8642 Sunland Boulevard
Sun Valley, CA 91352
"
William Reagh - LA Photography Center,1,(213) 639-1572,avytrop@yahoo.com,http://www.fridakahlotheater.org/#!la-photo-lab/calu,Dates and times subject to change. Please call: 213-382-8133,On site parking,yes,"The William Reagh Los Angeles Photography Center is operated by Grupo de Teatro SINERGIA in partnership with the Department of Cultural Affairs City of Los Angeles, and is the only Community Photography Laboratory in the Los Angeles area.","2332 West Fourth Street
Los Angeles, CA 90057
"
Center for the Arts Eagle Rock,14,(323) 561-3044,melinda@cfaer.org,http://cfaer.org,Monday - Friday 11am-5pm,Street parking only,yes,"Center for the Arts Eagle Rock (CFAER) was established in 1998 in order to strengthen the economic, social, and creative vitality of Northeast LA through the arts. Since then, it has become the areaâs premiere multidisciplinary arts presenter and educator. Housed in a historic Carnegie library building in Eagle Rock, CFAER serves as a dynamic cultural hub for all of Northeast LA, with a particular commitment to engaging with the areaâs low-income residents, at-risk youth, and working artists.

Our mission is to be innovative in providing multidisciplinary arts-inclusive programming to the diverse communities of Northeast LA and beyond.

We present arts and education programs and experiences year-round at our historic Mediterranean Revival building and throughout the community at no or very little cost. Our core programs include multidisciplinary events, such as concerts, readings, film screenings, and community artist collaborations that feature a range of disciplines, styles, and cultures, and target audiences of all ages. We present a yearly art auction featuring works from emerging and mid-career artists as well as the much loved Eagle Rock Music Festival. CFAERâs arts education programming includes Imagine Studio, offering standards based arts enrichment classes taught by working contemporary artists, free to Title1 schools throughout Northeast Los Angeles well as a childrenâs summer arts camp and year-round childrenâs and adultsâ workshops. The Center is proud to play a vital role in connecting our community and beyond to the transformative power of the arts.","2225 Colorado Blvd
Los Angeles, CA 90041
"
Lincoln Heights Youth Arts Center,1,(323) 224-0928,DCA.MusicLA@lacity.org,http://culturela.org/cultural-centers/lincoln-heights-youth-arts-center/,"Office hours: Monday - Friday: 9:30 - 5:30. Facility hours: Monday - Friday: 12:00 pm - 8:00 pm, Saturday: 10:00 am - 2:00 pm, Closed Sundays & Holidays.","Limited facility parking and residential, non-metered parking  ",yes,"DCAâs Music LA at the Lincoln Heights Junior Arts Center is a music education program that coordinates resources to provide students with high quality music education where few or no arts education programs exist. Music LA provides training in musical genres like mariachi, son jarocho, pow wow style drumming, jazz, traditional Korean music, and more.

The Lincoln Heights Junior Arts Center is part of the Lincoln Heights Youth Center complex, which is a renovated 2-story church building constructed in 1930 with subsequent additions built in the 1970âs. The complex houses four components: an outdoor roller hockey rink, a boxing gymnasium, a youth center, and a junior arts center; and is jointly operated by the Department of Recreation and Parks (DRP) and DCA. The complex has approximately 9,000 square feet of space (including the outdoor hockey rink), with the Junior Arts Center occupying approximately one-third of the building. Funding for the renovation of the complex was provided through Proposition K funds.","2911 Altura Street
Los Angeles, CA 90031
"
Canoga Park Youth Arts Center,3,(818) 346-7099,stuart.vaughan@lacity.org,http://culturela.org/cultural-centers/canoga-park-youth-arts-center/,Workshops are held Monday through Saturday for 8 weeks sessions that are held four times a year.,facilty parking and street parking,yes,"The Canoga Park Youth Arts Center is located in a historic building that once served as the first operator assisted phone company in San Fernando valley. The exterior of the mission style building has been restored, while the interior has been converted into a contemporary youth arts center.

The facility, which was funded by Prop K Recreation and Parks, includes a gallery, workshops and studios, a computer lab, an exhibition space, and a garden classroom.

The centerâs mission is to bring quality innovative arts programming to the community by offering art classes to youth 6-17 years of age. The staff of educators are comprised of professional from the Los Angeles art community. The centerâs philosophy includes creating an environment to encourage interaction between professional artists and youth.","7222 Remmet Avenue
Canoga Park, CA 91303
"
Los Angeles Municipal Art Gallery,13,"(323) 644-6269
",info@lamag.org,http://www.lamag.org/,"Thursday - Sunday, 12pm - 5pm 
First Fridays, noon to 9 pm
",On site parking,no,"The Los Angeles Municipal Art Gallery (LAMAG) is a facility of the City of Los Angeles Department of Cultural Affairs. Founded and opened in 1954, its mission is to promote, interpret, and present the art of emerging, mid career, and established artists from culturally diverse Southern California. The Gallery showcases art from other parts of the world that is of relevance to the people of the City of Los Angeles.

Its 10,000 square foot venue offers a dramatic exhibition space for large thematic group exhibitions that represent the current endeavors of area artists as well as exhibitions of work by individuals who have made a significant contribution to art in Los Angeles in particular and Southern California at large.

The curatorial focus of the Gallery includes painting, sculpture, photography, architecture, design, video, sound, electronic, performance, and installation works. Once a year the Gallery serves as the host venue for the DCAâs City of Los Angeles (C.O.L.A.) Individual Artist Fellowships exhibition, featuring the work of the Cityâs best mid-career artists.","4800 Hollywood Boulevard
Los Angeles, CA 90027
"
Bridge Gallery at City Hall,9,(213) 473-3231,Mary.Oliver@lacity.org,http://culturela.org/cultural-centers/bridge-gallery-city-hall/,"Monday - Friday, 9:00 am - 5:00 pm ",Lot across the street,no,"DCAâs Bridge Gallery at City Hall showcases the work of young people, adults, and seniors enrolled in City art programs, as well as themed exhibitions celebrating the Cityâs Heritage Month Celebrations.","200 North Spring Street
Los Angeles, CA 90012
"
Performing Arts Firehouse,15,,,,Closed for repairs,On site parking in the park,n/a,,
Croatian Cultural Center of Greater LA,15,(310) 833-0103,cccinfo@att.net,http://culturela.org/cultural-centers/croatian-cultural-center-of-greater-la/,Open during programmed events and activities,On site and street parking  ,no,"The first records of a plan for the Croatian Cultural Center of Greater Los Angeles can be traced back to January-February 1997. In March 1997 former City Councilman Rudy Svorinich and the former Community Redevelopment Agency (CRA) purchased the property located at 643 South Pacific Avenue (the current location of the Center). Since its Grand Opening on Sunday, May 27, 2001 the Center has presented and sponsored programs and activities that celebrate the rich culture and traditions of Croatia; and programs and activities that highlight and celebrate the Croatian diaspora throughout the world. Current programs and activities include participation in the monthly First Thursday Art Walk in San Pedro; Zumba Classes; Croatian Language Classes; Readers Theatre Repertory; Twilight Readers; Philippine Cultural Month Celebration, Latino Heritage Month Celebration; exhibitions and festivals.","510 West 7th Street
San Pedro, CA 90731
"
Encino Arts and Cultural Center,5,(818) 995-1690,encino.communitycenter@lacity.org,,Closed for repairs,,no,,"16953 Ventura Boulevard
Encino, CA 91316
"
 ,,,,,,,,,
Art in the Park at Hermon Park,14,(323) 812-2729,bertasosa1@yahoo.com,http://www.artinthepark.us/,Sunrise to Sunset,On site parking,yes,"Since 1996 Art in the Park at Arroyo Seco Park in Hermon Park has offered classes to children and youth that tap into the traditions and cultures of the local community and Los Angeles.â Known for its emphasis on cultural education, the center offers classes for children and teens on the visual and urban arts, including hip hop dance.â âThe center also hosts concerts and special events such as the Corn Festival in the spring and Dia de los Muertos Celebration in the fall.â âThe Center has been managed and operated by the non-profit organization Art in the Park Community Cultural Programs, Inc., via an agreement between the organization and the City of Los Angeles (DCA). Housed in the Center is the Lalo Guerrero School of Music Program. The program is named in honor of Lalo Guerrero, known as the Father of Chicano Music and an activist, advocate, and seminal figure in music history in the United Statesâ. The Lalo Guerrero School âis an after school music program that focuses on the guitar, the instrument for which Lalo Guerrero is known. Mr. Guerrero would often visit Art in the Park and teach guitar to the young students. In 1997 President William Jefferson Clinton presented Lalo Guerrero the National Medal of the Arts, the nationâs highest honor in the arts.â â","5568 Via Marisol
Los Angeles, CA 90042
(34.104318, -118.186197)"
"Watts Towers Campus (includes Watts Towers, Watts Towers Arts Center, the Charles Mingus Youth Arts Center, the Noah Purifoy Gallery, the Charles Mingus Gallery, and the Dr. Joseph and Bootsie Howard Gallery)",15,(213) 847-4646,watts.towers1@lacity.org,http://www.wattstowers.org,10am-4pm Wednesday- Saturday Sunday 12-4,"Off-street parking, lot available",yes,"Since its inception in 1961, the City of Los Angeles Department of Cultural Affairsâ Watts Towers Arts Center, and the later-built Charles Mingus Youth Arts Center, located in the heart of Watts on a campus that includes Simon Rodiaâs Watts Towers, have provided programs designed for cultural enrichment. Classes for both teachers and students in painting, sculpture, photography, music, dance, gardening, tiling, and other multi-media arts are presented in a safe, non-competitive creative atmosphere under the guidance and direction of professional artists. Tours and lectures, as well as permanent and changing exhibitions by outstanding local and international artists, are offered year round.

DCAâs Watts Towers Arts Campus has served as a beacon of light for arts education and a conduit for social change. It continues to support and present master artists and to nurture aspiring young people. This arts education institution, which is the only tourist destination in Watts, continues to serve not only our local Southern California community, but the world at large, as is evidenced by its large number of international visitors. Through its exhibitions, tours, and other programs, the WTAC has been associated with, and presented, more than 1,000 artists in numerous disciplines including: visual arts, filmmaking, writing, music, and performing arts, in addition to its substantial museum and arts educational programming.

The Watts Towers Arts Center is internationally known for its association with, and development of, master artists. Just like Simon Rodia, and in spite of the tremendous, measurable success of our world renowned, master artists, many still find themselves outside the range for inclusion in many of the existing art institutions.

During the last weekend of September, DCAâs Watts Towers Arts Center produces the annual Watts Towers Day of the Drum Festival and the Simon Rodia Watts Towers Jazz Festival. Both events embrace the concept of multiculturalism and draw crowds from all parts of the city and around the world. The Watts Towers Day of the Drum Festival is dedicated to percussion and the traditional role of drumming in human societies. The Simon Rodia Watts Towers Jazz Festival, the oldest festival in Los Angeles, pays tribute to the American music forms of Jazz, Gospel, and Blues â and takes it to the Avant Garde and Latin Jazz scene. The performers represent the diverse cultures in Los Angeles and some of the finest talent in drumming and jazz today. The festival brings visitors, including children, together with community service organization, retail and food vendors, artisans, and musicians. Each year, thousands of people from all over the world are attracted to the site to see the Watts Towers, hear the story of their creation, and participate in the programs DCA provides.

The galleries at the Watts Towers Campus include the Noah Purifoy Gallery, the Charles Mingus Gallery, and the Dr. Joseph and Bootsie Howard Gallery.","1727 East 107th Street
Los Angeles, California 90002
(33.938633, -118.242106)"
