FSCS ID,FSCS ID_SEQ,LIBRARY ID,LIBRARY NAME,PHONE,COUNTY,LOCATION,LOCALE,COUNTY POPULATION,OUTLET TYPE,SQ FEET,BOOKMOBILES,HOURS,WEEKS OPEN,METRO STATUS,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE
AK0018,002,AK0018-002,IPNATCHIAQ LIBRARY,9073632136,NORTHWEST ARCTIC,"59 MAIN STREET
DEERING, AK 99736
(0.0, 0.0)",,7717,CE,375,0,550,50,M,8,0,0
AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,9078954102,SE FAIRBANK,"2291 DEBORAH STREET DELTA JUNCTION
AK 99737
(64.046571, -145.733485)",43,6931,CE,5000,0,2600,52,NO,0,0,0
AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,9078425610,DILLINGHAM,"306 D STREET WEST
DILLINGHAM, AK 99576
(59.040254, -158.466736)",43,4988,CE,2430,0,2080,52,NO,0,0,0
AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,9075472334,SE FAIRBANK,"4TH &amp; AMUNDSEN EAGLE
AK 99738
(64.786619, -141.201518)",43,6931,CE,1500,0,713,51,NO,0,0,15
AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,9074591022,FAIRBANKS NORTH STAR,"1215 COWLES STREET
FAIRBANKS, AK 99701
(64.838318, -147.738617)",13,99357,CE,62100,0,3224,52,NO,0,14,0
AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,9074886101,FAIRBANKS NORTH STAR,"601 SNOWMAN LANE NORTH
POLE, AK 99705
(64.749182, -147.350711)",23,99357,BR,4200,0,2080,52,NO,0,0,0
AK0023,004,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,9074591031,FAIRBANKS NORTH STAR,"1215 COWLES STREET
FAIRBANKS, AK 99701
(64.838318, -147.738617)",13,99357,BS,-3,1,1820,52,NO,0,14,0
AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,9076561883,YUKON-KOYUKUK,"299 ANTOSKI ROAD
GALENA, AK 99741
(64.748024, -156.872325)",43,5547,CE,1500,0,720,48,NO,0,0,15
AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,9078225427,VALDEZ-CORDOVA,"186 GLENN HIGHWAY
GLENNALLEN, AK 99588
(62.198412, -146.050333)",43,9488,CE,2000,0,1582,52,NO,0,0,0
AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,9076972350,SKAGWAY-ANGOON,"14 GUSTAVUS ROAD
GUSTAVUS, AK 99826
(58.413083, -135.726709)",43,2082,CE,3052,0,1248,51,NO,0,0,0
AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,9077662545,HAINES,"111 THIRD AVENUE SOUTH
HAINES, AK 99827
(59.232844, -135.448063)",43,2566,CE,8400,0,3016,52,NO,0,0,0
AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,9076832507,DENALI,"400 SUNTRANA STREET
HEALY, AK 99743
(63.873491, -149.017033)",43,1921,CE,4560,0,1000,51,NO,0,0,0
AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,9075307112,PR WALES-OUTER KE,"1 HOLLIS CHILKAT ROAD
HOLLIS, AK 99950
(55.781881, -133.075907)",43,6396,CE,2300,0,1100,48,NO,0,0,0
AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,9072353180,KENAI PENINSULA,"500 HAZEL AVENUE
HOMER, AK 99603
(59.640502, -151.544299)",43,57477,CE,17000,0,2617,52,NO,0,0,0
AK0033,002,AK0033-002,HOPE COMMUNITY LIBRARY,9077823121,KENAI PENINSULA,"18487 A AVENUE
HOPE, AK 99605
(60.109417, -149.445094)",43,57477,CE,2304,0,960,48,NO,0,0,0
AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,9073642378,JUNEAU,"1016 THIRD STREET
DOUGLAS, AK 99824
(58.276862, -134.395337)",33,32406,BR,8000,0,1872,52,NO,0,0,0
AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,9077890125,JUNEAU,"9105 MENDENHALL MALL ROAD
JUNEAU, AK 99801
(58.37177, -134.584691)",33,32406,BR,9391,0,3172,52,NO,0,0,0
AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,9075865249,JUNEAU,"292 MARINE WAY
JUNEAU, AK 99801
(58.298476, -134.403662)",33,32406,CE,17000,0,2704,52,NO,0,0,0
AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,9072603959,KENAI PENINSULA,"58231 STERLING HIGHWAY
KASILOF, AK 99610
(60.312587, -151.260338)",43,57477,CE,2553,0,750,49,NO,0,0,15
AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,9072834378,KENAI PENINSULA,"163 MAIN STREET LOOP
KENAI, AK 99611
(60.558573, -151.244231)",33,57477,CE,20000,0,3006,52,NO,0,0,0
AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,9072253331,KETCHIKAN GATEWAY,"1110 COPPER RIDGE LANE
KETCHIKAN, AK 99901
(55.352711, -131.650729)",33,13787,CE,16726,0,2916,52,NO,0,0,0
AK0040,002,AK0040-002,KODIAK PUBLIC LIBRARY,9074868686,KODIAK ISLAND,"612 EGAN WAY
KODIAK, AK 99615
(0.0, 0.0)",,13986,CE,16000,0,3047,45,M,0,6,7
AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,9074422410,NORTHWEST ARCTIC,"604 THIRD STREET
KOTZEBUE, AK 99752
(66.897061, -162.592833)",33,7717,CE,1700,0,2392,52,NO,0,0,0
AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,9074842142,NORTHWEST ARCTIC,"2600 MUSK OX PARKWAY
SELAWIK, AK 99770
(66.285286, -159.531733)",43,7717,BR,2000,0,520,52,NO,0,0,0
AK0044,002,AK0044-002,MCGRATH COMMUNITY LIBRARY,9075243843,YUKON-KOYUKUK,"249 F STREET
MCGRATH, AK 99627
(62.909259, -160.065507)",43,5547,CE,2536,0,1332,52,NO,0,0,0
AK0046,002,AK0046-002,CENTENNIAL LIBRARY,9078866000,PR WALES-OUTER KE,"4TH &amp; MILTON STREET METLAKATLA
AK 99926
(55.128483, -131.575207)",43,6396,CE,990,0,1000,50,NO,0,0,0
AK0047,003,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,9072466513,BRISTOL BAY,"1 SCHOOL ROAD SOUTH
NAKNEK, AK 99670
(58.732301, -156.9863)",43,957,BR,840,0,1144,52,NO,0,0,0
AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,9072464465,BRISTOL BAY,"101 MAIN STREET
NAKNEK, AK 99633
(58.68207, -156.667502)",43,957,CE,1456,0,2080,52,NO,0,0,0
AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,9078325812,YUKON-KOYUKUK,"106 EAST SECOND STREET
NENANA, AK 99760
(64.562443, -149.09285)",43,5547,CE,2421,0,1664,52,NO,0,0,15
AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,9075673333,KENAI PENINSULA,"15850 STERLING HIGHWAY
NINILCHIK, AK 99639
(60.027744, -151.692273)",43,57477,CE,3200,0,1456,52,NO,0,0,0
AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,9074436628,NOME,"223 FRONT STREET
NOME, AK 99762
(64.497322, -165.405497)",33,9817,CE,1800,0,2244,52,NO,0,0,0
AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,9077782310,SE FAIRBANK,"496 NORTHWAY ROAD
NORTHWAY, AK 99764
(62.95927, -141.936216)",43,6931,CE,2562,0,300,30,NO,0,0,0
AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,9077611371,MATANUSKA-SUSITNA,"655 SOUTH VALLEY WAY
PALMER, AK 99645
(61.599967, -149.113048)",32,97882,CE,11400,0,2288,52,NO,0,0,0
AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,9077352500,SKAGWAY-ANGOON,"166 SALMON WAY
PELICAN, AK 99832
(57.958737, -136.223923)",43,2082,CE,1200,0,728,52,NO,0,0,0
AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,9077723349,WRANGELL-PETERSBU,"14 SOUTH SECOND STREET
PETERSBURG, AK 99833
(0.0, 0.0)",,3160,CE,9700,0,2408,43,M,0,0,7
AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,9074542288,KODIAK ISLAND,"207 SPRUCE DRIVE PORT
LIONS, AK 99550
(57.86639, -152.883684)",43,13986,CE,1360,0,1196,52,NO,0,0,0
AK0061,002,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,9075463324,ALEUTIANS WEST,"930 TOLSTOI BOULEVARD ST
PAUL, AK 99660
(57.12099, -170.280072)",43,5750,CE,1280,0,960,48,NO,0,0,0
AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,9072347662,KENAI PENINSULA,"260 SELDOVIA STREET
SELDOVIA, AK 99663
(59.438682, -151.714587)",43,57477,CE,2791,0,1029,52,NO,0,0,0
AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY MUSEUM,9072244008,KENAI PENINSULA,"239 6TH AVENUE
SEWARD, AK 99664
(0.0, 0.0)",,57477,CE,22542,0,2424,52,M,0,0,7
AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,9077478708,SITKA,"320 HARBOR DRIVE
SITKA, AK 99835
(57.049585, -135.334521)",41,8900,CE,7300,0,3692,52,NO,0,0,0
AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,9079832665,SKAGWAY-ANGOON,"769 STATE STREET
SKAGWAY, AK 99840
(59.460614, -135.308023)",43,1036,CE,5014,0,2264,52,NO,0,0,0
AK0069,002,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,9072624227,KENAI PENINSULA,"235 NORTH BINKLEY ST
SOLDOTNA, AK 99669
(0.0, 0.0)",,57477,CE,21054,0,2600,50,M,0,6,7
AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,9077454467,MATANUSKA-SUSITNA,"11301 NORTH CHICKALOON WAY
SUTTON, AK 99674
(61.705952, -148.977161)",42,97882,CE,6258,0,2132,52,NO,0,0,0
AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,9077332359,MATANUSKA-SUSITNA,"23151 SOUTH TALKEETNA SPUR ROAD
TALKEETNA, AK 99676
(62.321592, -150.108097)",43,97882,CE,2590,0,2184,52,NO,0,0,0
AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,9073667356,YUKON-KOYUKUK,"89 FRONT STREET
TANANA, AK 99777
(65.329839, -151.957314)",43,5547,CE,848,0,420,42,NO,0,0,0
AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,9077362248,SKAGWAY-ANGOON,"707 WEST TENAKEE AVENUE TENAKEE SPRINGS
AK 99841
(57.780067, -135.216951)",43,2082,CE,896,0,800,50,NO,0,0,15
AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,9078835623,SE FAIRBANK,"1314 ALASKA HIGHWAY
TOK, AK 99780
(63.910262, -142.214893)",43,6931,CE,960,0,1656,52,NO,0,0,0
AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,9078354632,VALDEZ-CORDOVA,"212 FAIRBANKS DRIVE
VALDEZ, AK 99686
(61.129882, -146.353396)",43,9488,CE,15000,0,2860,52,NO,0,0,0
AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,9073765913,MATANUSKA-SUSITNA,"391 NORTH MAIN STREET
WASILLA, AK 99654
(61.583125, -149.441482)",32,97882,CE,7687,0,1975,52,NO,0,0,0
AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,9074957323,MATANUSKA-SUSITNA,"23557 WEST WILLOW COMMUNITY CENTER
WILLOW, AK 99688
(61.33519, -150.851603)",43,97882,CE,4111,0,2300,52,NO,0,0,0
AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,9078743535,WRANGELL,"124 SECOND STREET
WRANGELL, AK 99929
(56.473065, -132.386938)",43,2364,CE,5930,0,1858,52,NO,0,0,0
AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,9077654631,BETHEL,"1 KILBUCK ROAD
AKIAK, AK 99552
(60.917795, -161.228344)",43,17868,CE,2500,0,480,48,NO,0,0,0
AK0085,004,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,9078223015,VALDEZ-CORDOVA,"5 EDGERTON HIGHWAY KENNY LAKE
AK 99573
(61.709958, -144.043021)",43,9488,CE,1440,0,785,52,NO,0,0,0
AK0087,002,AK0087-002,KOYUK PUBLIC LIBRARY,9079633971,NOME,"3RD
KOYUK, AK 99753
(64.93803, -161.141837)",43,9817,CE,1000,0,520,50,NO,0,0,0
AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,9076955630,BETHEL,"1 PHILLIP STREET
TULUKSAK, AK 99679
(61.107769, -160.952397)",43,17868,CE,1495,0,1300,52,NO,0,0,0
AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,9077632541,NORTH SLOPE,"567 MAIN STREET
WAINWRIGHT, AK 99782
(70.639077, -160.024998)",43,9703,BR,2225,0,480,40,NO,0,0,0
AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,9073682662,NORTH SLOPE,"1837 TIKIGAQ AVENUE POINT
HOPE, AK 99766
(68.346061, -166.771701)",43,9703,BR,2849,0,528,44,NO,0,0,0
AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,9076613226,NORTH SLOPE,"114 ILLINOIS AVENUE ANAKTUVUK PASS
AK 99721
(68.14675, -151.727838)",43,9703,BR,1230,0,480,40,NO,0,0,0
AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,9076636315,NORTH SLOPE,"4001 KIPPI STREET
ATQASUK, AK 99791
(70.475384, -157.418648)",43,9703,BR,800,0,480,40,NO,0,0,0
AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,9076406626,NORTH SLOPE,"2001 BARTER AVENUE
KAKTOVIK, AK 99747
(70.129108, -143.631235)",43,9703,BR,2880,0,480,40,NO,0,0,0
AK0094,008,AK0094-008,NUIQSUT SCHOOL/COMMUNITY LIBRARY,9074806712,NORTH SLOPE,"3310 3RD AVENUE
NUIQSUT, AK 99789
(70.223119, -151.001134)",43,9703,BR,1305,0,480,40,NO,0,0,0
AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,9078332311,NORTH SLOPE,"1029 QASIGIALIK STREET
POINT LAY, AK 99759
(69.741052, -163.016599)",43,9703,BR,888,0,480,40,NO,0,0,0
AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,9078524050,NORTH SLOPE,"5421 NORTH STAR STREET
BARROW, AK 99723
(71.29846, -156.753415)",33,9703,CE,11500,0,3120,52,NO,0,0,0
AK0095,002,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,9078253684,BETHEL,"1 MAIN STREET
AKIACHAK, AK 99551
(59.012567, -161.825068)",43,17868,CE,1800,0,480,48,NO,0,0,0
AK0097,002,AK0097-002,ESTHER GREENWALD LIBRARY,9079453611,SKAGWAY-ANGOON,"366 GARTEENI HIGHWAY
HOONAH, AK 99829
(58.108258, -135.438561)",43,2082,CE,4184,0,1440,50,NO,0,0,0
AK0099,002,AK0099-002,MOOSE PASS PUBLIC LIBRARY,9072883111,KENAI PENINSULA,"38100 DEPOT ROAD MOOSE PASS
AK 99631
(60.487323, -149.368455)",43,57477,CE,360,0,1352,52,NO,0,0,15
AK0100,001,AK0100-002,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,9072932427,YUKON-KOYUKUK,"9127 MAIN STREET
NIKOLAI, AK 99691
(63.010723, -154.377316)",43,5547,CE,1640,0,480,48,NO,0,6,15
AK0101,002,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,9073832393,ALEUTIANS EAST,"123 RED COVE ROAD SAND POINT
AK 99661
(55.353351, -160.481362)",43,3360,CE,1950,0,780,52,NO,0,0,0
AK0102,002,AK0102-002,EGEGIK VILLAGE LIBRARY,9072332211,LAKE AND PENINSULA,"289 AIRPORT ROAD
EGEGIK, AK 99579
(58.210776, -157.345234)",43,1631,CE,1500,0,1008,52,NO,0,0,15
AK0103,002,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,9077331546,MATANUSKA-SUSITNA,"8901 EAST DEVONSHIRE DRIVE TRAPPER CREEK
AK 99683
(62.307221, -150.246221)",43,97882,CE,2762,0,1270,52,NO,0,0,0
AK0104,002,AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,9074767131,YUKON-KOYUKUK,"210 MAIN STREET
HOLY CROSS, AK 99602
(62.057258, -160.023886)",43,5547,CE,1450,0,480,48,NO,0,0,15
AK0113,002,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,9076802323,KODIAK ISLAND,"216 THIRD STREET
OUZINKIE, AK 99644
(57.922535, -152.494642)",42,13986,CE,600,0,2184,52,NO,0,0,0
AK0114,002,AK0114-002,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,9075463337,ALEUTIANS WEST,"1 ELEMENTARY SCHOOL ROAD
ST GEORGE, AK 99591
(56.581679, -169.616909)",43,5750,CE,900,0,672,48,NO,0,0,0
AK0115,002,AK0115-002,UNALASKA PUBLIC LIBRARY,9075815060,ALEUTIANS WEST,"64 ELEANOR DRIVE
UNALASKA, AK 99685
(53.870489, -166.529567)",43,5750,CE,9400,0,3484,52,NO,0,0,0
AK0116,001,AK0116-002,ANIAK PUBLIC LIBRARY,9076754435,BETHEL,"270 RIVERFRONT DRIVE
ANIAK, AK 99557
(61.496996, -156.70387)",43,17868,CE,400,0,1000,50,NO,0,0,0
AK0117,001,AK0117-002,HYDER PUBLIC LIBRARY,2506369169,PR WALES-OUTER,"50 MAIN STREET
HYDER, AK 99923
(55.951233, -130.054261)",43,6396,CE,1200,0,1028,48,NO,0,0,0
AK0120,001,AK0120-002,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,9074738206,YUKON-KOYUKUK,"101 PINE STREET
SHAGELUK, AK 99665
(62.682486, -159.837595)",43,5547,CE,512,0,1000,50,NO,0,0,0
AK0121,001,AK0121-002,BLACKWELL COMMUNITY/SCHOOL LIBRARY,9076636348,YUKON-KOYUKUK,"100 WHITE SPRUCE TRAIL
ANVIK, AK 99558
(63.235938, -159.72838)",43,5547,CE,560,0,300,40,NO,0,6,0
AK0122,001,AK0122-002,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,9074535135,YUKON-KOYUKUK,"DAVID LOUIS SCHOOL BUILDING GRAYLING
AK 99590
(64.075022, -159.676935)",43,5547,CE,576,0,180,18,NO,0,6,0
AK0124,001,AK0124-002,LAKE MINCHUMINA COMMUNITY LIBRARY,9076743112,YUKON-KOYUKUK,"123 FRONT STREET
LAKE MINCHUMINA, AK 99757
(63.848952, -152.427523)",43,5547,CE,1100,0,1029,49,NO,0,0,15
AK0126,001,AK0126-002,IGIUGIG TRIBAL LIBRARY,9075333211,LAKE AND PENINSULA,"1 AIRPORT WAY
IGIUGIG, AK 99613
(58.748921, -156.57377)",43,957,CE,440,0,600,50,NO,0,0,0
AK0127,001,AK0127-002,COFFMAN COVE COMMUNITY LIBRARY,9073292233,PR WALES-OUTER KE,"108 NW DENALI ALLEY COFFMAN COVE
AK 99918
(55.357009, -131.69729)",33,6396,CE,2480,0,1366,52,NO,0,0,0
AK0130,001,AK0130-002,THORNE BAY PUBLIC LIBRARY,9078283303,PR WALES-OUTER KE,"120 FREEMAN DRIVE
THORNE BAY, AK 99919
(55.686874, -132.523342)",43,6396,CE,1120,0,1443,50,NO,0,0,0
AK0134,001,AK0134-001,WHALE PASS COMMUNITY LIBRARY,9078465226,PR WALES-OUTER KE,"14 WHALE PASS
AK 99950
(56.113569, -133.121106)",43,6396,CE,1500,0,638,50,NO,0,0,0
AK0135,001,AK0135-001,TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER,9074935566,DILLINGHAM,"2 MAIN STREET
TOGIAK, AK 99678
(0.0, 0.0)",,4988,CE,1000,0,1560,52,M,0,0,7
AK0136,001,AK0136-001,SCAMMON BAY PUBLIC LIBRARY,9075585400,WADE HAMPTON,"103 MAIN STREET
SCAMMON BAY, AK 99662
(61.534112, -166.081432)",43,8010,CE,220,0,1250,48,NO,0,0,0
AK0137,001,AK0137-001,KLUKWAN COMMUNITY/SCHOOL LIBRARY,9077675551,HAINES,"315 MISSION STREET
KLUKWAN, AK 99827
(59.23259, -135.448159)",43,2566,CE,1600,0,676,52,NO,0,0,0
AL0001,003,AL0001-003,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,2052212568,WALKER,"98 18TH STREET EAST
JASPER, AL 35501
(33.833395, -87.273908)",32,65471,CE,20000,0,2340,52,NO,0,0,0
AL0002,002,100-001,ARLEY PUBLIC LIBRARY,2053870129,WINSTON,"6788 COUNTY ROAD
ARLEY, AL 35541
(34.050051, -87.223437)",42,24150,CE,6000,0,1820,52,NO,0,0,0
AL0005,002,100-002,DOUBLE SPRINGS PUBLIC LIBRARY,2054892412,WINSTON,"637 BLAKE DRIVE DOUBLE SPRINGS
AL 35553
(34.146999, -87.3834)",43,24150,CE,1500,0,2210,52,NO,0,0,0
AL0006,002,100-004,HALEYVILLE PUBLIC LIBRARY,2054867450,WINSTON,"913 20TH STREET
HALEYVILLE, AL 35565
(34.2264, -87.623363)",32,24150,CE,3600,0,2496,52,NO,0,0,0
AL0007,002,100-005,JASPER PUBLIC LIBRARY,2052218512,WALKER,"98 EAST 18TH STREET
JASPER, AL 35501
(33.833395, -87.273908)",32,65471,CE,20000,0,2080,52,NC,0,0,0
AL0009,002,100-006,SUMITON PUBLIC LIBRARY,2056487451,WALKER,"416 STATE STREET
SUMITON, AL 35148
(33.749577, -87.049527)",31,65471,CE,2500,0,2288,52,NC,0,0,0
AL0010,002,100-008,CHEAHA REGIONAL LIBRARY,2564637125,CLEBURNE,"935 COLEMAN STREET
HEFLIN, AL 36264
(33.643758, -85.58892)",42,15080,CE,2200,0,2080,52,NO,0,0,0
AL0010,006,AL0010-006,CHEAHA REGIONAL BOOKMOBILE,2564637125,CLEBURNE,"935 COLEMAN STREET
HEFLIN, AL 36264
(33.643758, -85.58892)",42,15080,BS,-3,2,1480,52,NO,0,0,0
AL0011,002,101-000,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,3348632632,RANDOLPH,"736 COLLEGE STREET
ROANOKE, AL 36274
(33.149541, -85.370689)",32,22539,CE,9000,0,2236,52,NO,0,0,0
AL0012,002,101-001,ASHLAND CITY PUBLIC LIBRARY,2563543427,CLAY,"11 2ND AVENUE NORTH
ASHLAND, AL 36251
(33.274741, -85.837242)",42,13552,CE,4000,0,2008,52,NO,0,0,0
AL0013,002,101-002,SYLACUGA - B. B. COMER MEMORIAL LIBRARY,2562490961,TALLADEGA,"314 NORTH BROADWAY AVENUE
SYLACAUGA, AL 35150
(33.171811, -86.250731)",32,81322,CE,39000,0,2600,52,NO,0,0,0
AL0014,002,999-028,CHEROKEE COUNTY PUBLIC LIBRARY,2569275838,CHEROKEE,"310 MARY STREET CENTRE
AL 35960
(34.149362, -85.676366)",32,26037,CE,10243,0,1990,52,NO,0,0,0
