Bookstore,Location,City,Phone
Judah Christian Book Store,"8337 Firestone Boulevard
Downey, CA 90241
(33.939561, -118.131994)",Downey,
Leonard's Guide,"181 N Vermont Ave
Glendora, CA 91741
(34.138351, -117.866781)",Glendora,
Casa Blanca Press,"3108 Via San Carlo
Montebello, CA 90640
(34.025302, -118.136904)",Montebello,
La Senda Antigua,"12116 Firestone Blvd
Norwalk, CA 90650
(33.909072, -118.075199)",Norwalk,
Hidden Treasure,"1822 W Temple St
Los Angeles, CA 90026
(34.069378, -118.265378)",Los Angeles,(213) 483-3082
IMIX Bookstore,"5052 Eagle Rock Blvd
Los Angeles, CA 90041
(34.138522, -118.214165)",Los Angeles,(323) 257-2512
Chapel Store,"16241 Leffingwell Rd
Whittier, CA 90603
(33.931939, -117.983702)",Whittier,
Occidental College Bookstore,"1600 Campus Rd
Los Angeles, CA 90041
(34.126538, -118.214384)",Los Angeles,
Video Paradiso,"330 W Bonita Ave
Claremont, CA 91711
(34.096611, -117.718737)",Claremont,
Cogan Books,"15020 Desman Rd
Whittier, CA 90601
(33.881602, -118.010927)",Whittier,
Aurora's Christian Bookstore,"14038 Ramona Blvd
Baldwin Park, CA 91706
(34.084672, -117.967119)",Baldwin Park,
District,"2746 E Broadway
Long Beach, CA 90803
(33.765602, -118.159471)",Long Beach,
33third Los Angeles,"5111 W Pico Blvd
Los Angeles, CA 90019
(34.048011, -118.34973)",Los Angeles,
GameStop,"3550 W Century Blvd
Inglewood, CA 90303
(33.945407, -118.334071)",Inglewood,
Keep It In the Light,"42741 45th St W
Lancaster, CA 93536
(34.659621, -118.210059)",Lancaster,
Hudson News,"700 World Way
Los Angeles, CA 90045
(33.943214, -118.399817)",Los Angeles,
Loyola Law School Bookstore,"919 Albany St
Los Angeles, CA 90015
(34.048793, -118.270449)",Los Angeles,(213) 736-1032
Romantix,"7314 Melrose Ave
Los Angeles, CA 90046
(34.083542, -118.34923)",Los Angeles,
Whitmore Rare Books,"1904 Coolidge Ave
Altadena, CA 91001
(34.178863, -118.100337)",Altadena,
"Autry National Center, Museum of the American West Bookstore","4700 Western Heritage Way
Los Angeles, CA 90027
(34.147361, -118.282307)",Los Angeles,(323) 667-2000 ext 228
Libreria Cristiana Funte De Auga Viva,"6618 S Vermont Avenue
Los Angeles, CA 90044
(33.978945, -118.29148)",Los Angeles,
Mrs Nelson Book Fair Co,"1648 W Orange Grove Ave
Pomona, CA 91768
(34.064055, -117.78096)",Pomona,
Eso Won Bookstore,"4327 Degnan Blvd
Los Angeles, CA 90008
(34.005008, -118.331466)",Los Angeles,(323) 290-1048
Omni Books-Science of Mind Publications,"3251 W 6th St
Los Angeles, CA 90020
(34.063594, -118.293775)",Los Angeles,
Los Angeles Audubon Society,"7377 Santa Monica Blvd
Los Angeles, CA 90046
(34.09076, -118.350989)",Los Angeles,(323) 876-0202
Atwater Christian Bookstore,"3307 Glendale Boulevard
Los Angeles, CA 90039
(34.118807, -118.260077)",Los Angeles,
Caravan,"550 S Grand Ave
Los Angeles, CA 90071
(34.049646, -118.254425)",Los Angeles,(213) 626-9944
Theosophical Society Library Center,"2416 Lake Ave
Altadena, CA 91001
(34.187327, -118.131455)",Altadena,
Sooyoo Inc,"9611 Las Tunas Dr
Temple City, CA 91780
(34.106763, -118.060429)",Temple City,
"Textbooks, Inc.","11027 Alondra Blvd
Norwalk, CA 90650
(33.887618, -118.099348)",Norwalk,
X-Spot No3,"6775 Santa Monica Boulevard
Los Angeles, CA 90038
(34.090711, -118.338107)",Los Angeles,
Kingstone BookstoreCo Inc,"135 S San Gabriel Blvd
San Gabriel, CA 91776
(34.102772, -118.091004)",San Gabriel,
One Dollar Bookstore,"6081 Center Dr
Los Angeles, CA 90045
(33.977537, -118.391833)",Los Angeles,
Barnes & Noble,"23630 Valencia Blvd
Santa Clarita, CA 91355
(34.416528, -118.549441)",Santa Clarita,(661) 254-6604
Sears Book Center,"2650 E Olympic Boulevard
Los Angeles, CA 90023
(34.024821, -118.221044)",Los Angeles,
Libreria Cristo Vive,"1206 Hollister St
San Fernando, CA 91340
(34.282498, -118.445811)",San Fernando,
Alias Books,"1650 Sawtelle Blvd
Los Angeles, CA 90025
(34.045893, -118.447909)",Los Angeles,(310) 473-4442
Melt Comics,"7522 Sunset Blvd
Los Angeles, CA 90046
(34.098029, -118.353343)",Los Angeles,(323) 851-7223
Black Ace,"1658 Griffith Park Blvd
Los Angeles, CA 90026
(34.092758, -118.278272)",Los Angeles,(323) 661-5052
American Friends Service Committee,"634 S Spring St
Los Angeles, CA 90014
(34.045501, -118.251385)",Los Angeles,(213) 489-1900
La Piramide Magica,"9366 Telegraph Road
Downey, CA 90240
(33.956125, -118.103052)",Downey,
C M Bookshop In Silverlake,"2388 Glendale Blvd
Los Angeles, CA 90039
(34.099847, -118.259221)",Los Angeles,
Alias Books East,"3163 Glendale Blvd
Los Angeles, CA 90039
(34.117243, -118.261718)",Los Angeles,
Church of Religious Science United,"3251 W 6th St Ste 200
Los Angeles, CA 90020
(34.063594, -118.293775)",Los Angeles,
Jeong Eum Korea Book Center,"928 S Western Ave Ste 151
Los Angeles, CA 90006
(34.05523, -118.309062)",Los Angeles,
Libreria Christiana Regocijate Y Canta,"122 W Anaheim St
Long Beach, CA 90813
(33.782605, -118.19296)",Long Beach,
MBC Store,"3400 W 6th St
Los Angeles, CA 90020
(34.063585, -118.295688)",Los Angeles,
Ministerio Refugio Del Senor,"3141 Chico Ave
El Monte, CA 91733
(34.065656, -118.06014)",El Monte,
Books N Bits,"11806 186th St
Artesia, CA 90701
(33.862827, -118.081763)",Artesia,
Agape Christian Books,"3108 Wilshire Boulevard
Los Angeles, CA 90010
(34.061799, -118.289319)",Los Angeles,
Hudson News,"400 World Way, Terminal 4
Los Angeles, CA 90045
(33.942619, -118.406871)",Los Angeles,
Piccolo's Bookstore,"101 S Pine Ave
Long Beach, CA 90802
(33.764097, -118.192352)",Long Beach,
Covina Book Store,"234 N Citrus Ave
Covina, CA 91723
(34.087842, -117.890154)",Covina,
Whole Armour Bookstore,"3220 W 85th St
Inglewood, CA 90305
(33.960871, -118.328583)",Inglewood,
College Of  The Canyons Bookstore,"26455 Rockwell Canyon Rd
Santa Clarita, CA 91355
(34.407176, -118.567511)",Santa Clarita,
Points of Light,"4358 Stearns Street
Long Beach, CA 90815
(33.796068, -118.141542)",Long Beach,
Abril Armenian Bookstore,"415 E Broadway
Glendale, CA 91205
(34.146329, -118.250597)",Glendale,
MOCA Bookstore,"250 S Grand Ave
Los Angeles, CA 90012
(34.053847, -118.250393)",Los Angeles,(213) 626-6222
Friends of the Pico Rivera Libraries Book Center,"9449 Slauson Avenue
Pico Rivera, CA 90660
(33.968172, -118.095563)",Pico Rivera,
University of Sankore Press,"3018 W 48th St
Los Angeles, CA 90043
(34.000036, -118.325987)",Los Angeles,(323) 295-9799
Pacific Comic Exchange,"28103 Ridgethorne Ct
Rancho Palos Verdes, CA 90275
(33.778528, -118.391163)",Rancho Palos Verdes,
One Dollar Bookstore,"200 E 5th St
Long Beach, CA 90802
(33.772634, -118.190005)",Long Beach,
L a Law,"1324 W Olympic Blvd
Los Angeles, CA 90015
(34.047436, -118.270329)",Los Angeles,(213) 384-5009
Crown Books Liquidation Center,"2086 Bellflower Blvd
Long Beach, CA 90815
(33.794344, -118.12523)",Long Beach,
Dawson's Book Shop,"535 N Larchmont Blvd
Los Angeles, CA 90004
(34.080088, -118.323657)",Los Angeles,
Green Bookstore,"9104 Alondra Blvd
Bellflower, CA 90706
(33.889272, -118.140392)",Bellflower,
Pacific Books & Supplies,"4514 Crenshaw Boulevard
Los Angeles, CA 90043
(34.002169, -118.331031)",Los Angeles,
Face Book Inc,"1067 Gayley Ave
Los Angeles, CA 90024
(34.060818, -118.446999)",Los Angeles,
Soyodo Bookstore,"5930 Temple City Blvd
Temple City, CA 91780
(34.107691, -118.061106)",Temple City,
Fingerprints Music,"420 E 4th St
Long Beach, CA 90802
(33.771711, -118.187052)",Long Beach,
Buddhamouse Emproium,"134 Yale Ave
Claremont, CA 91711
(34.09504, -117.717902)",Claremont,
Evergreen Books,"760 W Garvey Ave
Monterey Park, CA 91754
(34.062396, -118.133279)",Monterey Park,
BookMart,"3526 W 8th St
Los Angeles, CA 90005
(34.057665, -118.307231)",Los Angeles,(213) 365-2665
Shore Books and Art Gallery,"3064 E Broadway
Long Beach, CA 90803
(33.764832, -118.155776)",Long Beach,
Sheltams,"6333 W 3rd St
Los Angeles, CA 90036
(34.071338, -118.360102)",Los Angeles,
Chabad Mid City Center,"450 N Fairfax Ave
Los Angeles, CA 90036
(34.079569, -118.361453)",Los Angeles,
Seite,"419 N Rowan Ave
Los Angeles, CA 90063
(34.041086, -118.187029)",Los Angeles,(323) 526-1369
Book Shop,"134 N Citrus Ave
Covina, CA 91723
(34.087093, -117.890147)",Covina,
Line Ching Bookstore,"912 E Garvey Ave
Monterey Park, CA 91755
(34.062488, -118.11002)",Monterey Park,
Scholastic Book Fair,"13800 Live Oak Ave
Baldwin Park, CA 91706
(34.106499, -117.973269)",Baldwin Park,
Dbc Book Store,"1455 San Marino Ave Ste A
San Marino, CA 91108
(34.122318, -118.106775)",San Marino,
Michael R. Thompson Books,"8242 W 3rd St # 230
Los Angeles, CA 90048
(34.07259, -118.369391)",Los Angeles,(323) 658-1901
Hudson Booksellers,"300 World Way
Los Angeles, CA 90045
(33.944921, -118.406437)",Los Angeles,
Haarbauer Billy,"1824 W El Dorado St
West Covina, CA 91790
(34.08456, -117.943054)",West Covina,
CAFAM Bookstore,"5814 Wilshire Blvd
Los Angeles, CA 90036
(34.062394, -118.355452)",Los Angeles,(323) 937-4230
Mediastar Book Store,"25 E Huntington Dr
Arcadia, CA 91006
(34.140116, -118.030169)",Arcadia,
Battery Books & Music,"1005B Mission St
South Pasadena, CA 91030
(34.115754, -118.156932)",South Pasadena,
Book Smart,"255 S San Gabriel Blvd
San Gabriel, CA 91776
(34.099657, -118.090964)",San Gabriel,
LEADAPRON,"8445 Melrose Pl
Los Angeles, CA 90069
(34.083613, -118.374797)",Los Angeles,(323) 782-1888
Read,"4972 Eagle Rock Blvd
Los Angeles, CA 90041
(34.136515, -118.214761)",Los Angeles,(323) 259-9068
Around The World Books,"643 Foothill Blvd
La Ca&ntilde;ada Flintridge, CA 91011
(34.201353, -118.193331)",La Cañada Flintridge,
United By The Cross Booksktore & Music,"1415 W Garvey Ave N
West Covina, CA 91790
(34.072715, -117.936189)",West Covina,
Christian Book Club of America,"38602 6th St E
Palmdale, CA 93550
(34.58433, -118.118963)",Palmdale,
Libros Schmibros,"1711 Mariachi Plaza De Los Angeles
Los Angeles, CA 90033
(34.047614, -118.219788)",Los Angeles,(323) 302-9408
Library Store,"630 W 5th St
Los Angeles, CA 90071
(34.051258, -118.255468)",Los Angeles,
El Sembrador Ministries Bookstore,"2753 W Pico Blvd
Los Angeles, CA 90006
(34.04721, -118.299092)",Los Angeles,(323) 735-1344
China Book Store,"652 N Broadway
Los Angeles, CA 90012
(34.059987, -118.239512)",Los Angeles,
Modern Luxury,"5455 Wilshire Blvd
Los Angeles, CA 90036
(34.062364, -118.347698)",Los Angeles,
Biblioctopus,"2132 Century Park Ln
Los Angeles, CA 90067
(34.05709, -118.411767)",Los Angeles,
"Li'l Book Bug, New & Used Books","842 W Palmdale Blvd
Palmdale, CA 93551
(34.586016, -118.144353)",Palmdale,
Barnes & Noble,"10850 W Pico Blvd
Los Angeles, CA 90064
(34.039981, -118.428812)",Los Angeles,
Spiral Staircase the,"128 Old Topanga Cyn Rd
Topanga, CA 90290
(34.090293, -118.605084)",Topanga,
Friends of the Whittier Public Library,"6703 Comstock Ave
Whittier, CA 90601
(33.980662, -118.038596)",Whittier,
Malibu Shaman,"23410 Civic Center Way
Malibu, CA 90265
(34.036818, -118.686544)",Malibu,
Barnes & Noble,"12136 Ventura Blvd
Studio City, CA 91604
(34.143462, -118.396434)",Studio City,(818) 505-9528
"Diesel, A Bookstore","3890 Cross Creek Rd
Malibu, CA 90265
(34.035906, -118.685425)",Malibu,(310) 456-9961
Tokyo Music,"19946 Ventura Blvd
Los Angeles, CA 91364
(34.172044, -118.567782)",Los Angeles,
Barnes & Noble,"6326 E Pacific Coast Hwy
Long Beach, CA 90803
(33.760425, -118.113532)",Long Beach,(562) 431-2253
Happy Bookstore,"321 S Western Ave
Los Angeles, CA 90020
(34.068257, -118.30911)",Los Angeles,
Word of Life Christian Bookstore,"7223 S Main St
Los Angeles, CA 90003
(33.974079, -118.273923)",Los Angeles,(323) 758-2733
OK,"8303 W 3rd St
Los Angeles, CA 90048
(34.072675, -118.370121)",Los Angeles,
San Marino Toy and Book Shoppe,"2424 Huntington Dr
San Marino, CA 91108
(34.123157, -118.102195)",San Marino,(626) 309-0222
Crews of California Satellite,"100 World Way
Los Angeles, CA 90045
(33.945464, -118.401072)",Los Angeles,
Mount St. Mary's College - Chalon Campus Bookstore,"12001 Chalon Rd
Los Angeles, CA 90049
(34.083328, -118.479825)",Los Angeles,(310) 954-4322
University Book Exchange,"3423 Pomona Blvd
Pomona, CA 91768
(34.047322, -117.810668)",Pomona,
Center for Inquiry Bookstore,"4773 Hollywood Blvd
Los Angeles, CA 90027
(34.101762, -118.293833)",Los Angeles,(323) 666-9797
Family Christian Stores,"44622 10th St W
Lancaster, CA 93534
(34.694265, -118.148064)",Lancaster,
iBookPark,"4005 W Olympic Blvd
Los Angeles, CA 90019
(34.053861, -118.32076)",Los Angeles,(323) 934-1080
Vagabond Books,"11527 W Washington Blvd
Los Angeles, CA 90066
(34.000618, -118.416689)",Los Angeles,
Cheng Pin Co,"608 E Valley Blvd
San Gabriel, CA 91776
(34.080076, -118.092633)",San Gabriel,
Guiding Light Book Store,"7215 Crenshaw Boulevard
Los Angeles, CA 90043
(33.974045, -118.330873)",Los Angeles,
Libreria Cristiana Ebenezer ,"2030 W 8th St
Los Angeles, CA 90057
(34.054654, -118.277359)",Los Angeles,(213) 382-0777
Metropolis Books,"440 S. Main St
Los Angeles, CA 90013
(34.047347, -118.247903)",Los Angeles,(213) 612-0174
Aladin Books LA,"2777 W Olympic Blvd
Los Angeles, CA 90006
(34.052647, -118.294126)",Los Angeles,
LA Southwest College Bookstore,"1600 W Imperial Hwy
Los Angeles, CA 90047
(33.93089, -118.30466)",Los Angeles,(323) 241-5227
Mystic Moon Body Mind & Soul Metaphyscl Bks & Gfts,"62 Elm Ave
Long Beach, CA 90802
(33.767678, -118.187673)",Long Beach,
Student Books,"244 S Oxford Avenue
Los Angeles, CA 90004
(34.069627, -118.307894)",Los Angeles,
Audio Books-Roberts,"237 Kennebec Ave Apt 1
Long Beach, CA 90803
(33.766887, -118.163863)",Long Beach,
Ebenezer Libreria Cristiana E Imprenta,"2030 W 8th Street
Los Angeles, CA 90057
(34.054654, -118.277359)",Los Angeles,
Parent Teacher Aids,"43793 15th St W
Lancaster, CA 93534
(34.678667, -118.156858)",Lancaster,
Mount St. Mary's College - Doheny Campus Bookstore,"10 Chester Pl
Los Angeles, CA 90007
(34.030062, -118.277986)",Los Angeles,(213) 477-2760
"Diesel, A Bookstore","23410 Civic Center Way
Malibu, CA 90265
(34.036818, -118.686544)",Malibu,
Barnes & Noble,"111 W Colorado Blvd
Pasadena, CA 91105
(34.145756, -118.152959)",Pasadena,(626) 585-0362
Barnes & Noble,"189 The Grove Dr
Los Angeles, CA 90036
(34.071102, -118.356312)",Los Angeles,(323) 525-0270
Chinese Bookstore,"1398 Monterey Pass Rd
Monterey Park, CA 91754
(34.047089, -118.161951)",Monterey Park,
Distant Lands,"20 S Raymond Ave
Pasadena, CA 91105
(34.145379, -118.148882)",Pasadena,
LACMA Bookstore,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",Los Angeles,(323) 857-6146
Marc Jacobs Bookmarc,"8407 Melrose Pl
Los Angeles, CA 90069
(34.083625, -118.37382)",Los Angeles,
Ivanhoe Books,"1618 Silverlake Blvd
Los Angeles, CA 90026
(34.088519, -118.269048)",Los Angeles,
Samuel French Theatre & Film,"11963 Ventura Blvd.
Studio City, CA 91604
(34.143355, -118.39226)",Studio City,(818) 762-0535
Thai Books & Music-Dokya,"1100 N Main Street
Los Angeles, CA 90012
(34.063688, -118.233125)",Los Angeles,
Bay City Books,"1615 Wellesley Avenue
Los Angeles, CA 90025
(34.037039, -118.462478)",Los Angeles,
Claremont Church of Religious Science,"509 S College Ave
Claremont, CA 91711
(34.086398, -117.714929)",Claremont,
2000 Plus Bookstore,"309 Pine Ave
Long Beach, CA 90802
(33.770762, -118.192381)",Long Beach,
Mustard Seed Bookstore,"231 S Glendora Ave
Glendora, CA 91741
(34.133493, -117.865483)",Glendora,
Verbum Dei Bookstore,"914 W Whittier Blvd
Montebello, CA 90640
(34.010522, -118.110342)",Montebello,
Neely's Educational Materials and Supplies,"5950 S Broadway
Los Angeles, CA 90003
(33.98602, -118.278294)",Los Angeles,
Dharma Center Bookstore,"7007 Greenleaf Ave
Whittier, CA 90602
(33.97877, -118.037362)",Whittier,
Beat The Book Store,"3560 W Temple Ave
Pomona, CA 91768
(34.048048, -117.810936)",Pomona,
Barnes & Noble,"731 N San Fernando Blvd
Burbank, CA 91502
(34.185237, -118.314842)",Burbank,(818) 558-1383
World Book and News,"1652 N Cahuenga Blvd
Los Angeles, CA 90028
(34.101297, -118.329532)",Los Angeles,
New World Book Company,"127 N Garfield Ave
Monterey Park, CA 91754
(34.063296, -118.122838)",Monterey Park,
Hani,"444 S Westmoreland Avenue
Los Angeles, CA 90020
(34.065389, -118.288456)",Los Angeles,
Educational Bookstores,"3959 Wilshire Blvd
Los Angeles, CA 90010
(34.061751, -118.312818)",Los Angeles,(213) 387-3184
Aztec Books & Internet Lounge,"8610 Van Nuys Blvd
Panorama City, CA 91402
(34.226494, -118.449496)",Panorama City,
Cultura Latina Bookstore,"4125 Norse Way
Long Beach, CA 90808
(33.832846, -118.141174)",Long Beach,
Dong-A Book Plaza,"3460 W 8th St
Los Angeles, CA 90005
(34.05768, -118.306073)",Los Angeles,
Los Angeles Trade Tech College Bookstore,"1937 S Grand Ave
Los Angeles, CA 90007
(34.031855, -118.268821)",Los Angeles,(213) 763-7210
Secret Headquarters,"3817 W Sunset Blvd
Los Angeles, CA 90026
(34.091001, -118.278903)",Los Angeles,(323) 666-2228
Libreria Cristiana La Rosa de Saron,"867 S Vermont Ave
Los Angeles, CA 90005
(34.056354, -118.291627)",Los Angeles,
Fol Bookstore,"1411 N Garey Ave
Pomona, CA 91767
(34.07177, -117.75217)",Pomona,
Oly's Christian Shop,"701 W Avenue K
Lancaster, CA 93534
(34.67489, -118.144383)",Lancaster,
Once Upon a Time,"2207 Honolulu Avenue
Glendale, CA 91020
(34.20507, -118.225472)",Glendale,818-248-9668
Sungs Cultural Enterprise,"11017 W Hondo Pkwy
Temple City, CA 91780
(34.09653, -118.028155)",Temple City,
Evergreen Books of West Covina,"989 S Glendora Ave
West Covina, CA 91790
(34.057601, -117.936258)",West Covina,
Counterpoint Records & Books,"5911 Franklin Ave
Hollywood, CA 90028
(34.105254, -118.318502)",Hollywood,(323) 957-7965
Vedantic Center the,"3528 Triunfo Canyon Rd
Agoura Hills, CA 91301
(34.131827, -118.802092)",Agoura Hills,
Maranatha Bookstore,"3800 W Martin Luther King J
Los Angeles, CA 90008
(34.013494, -118.340164)",Los Angeles,
Neotype Station,"988 N Hill St
Los Angeles, CA 90012
(34.066576, -118.237637)",Los Angeles,
La Vida Loca galería,"5050 York Blvd
Los Angeles, CA 90042
(34.12117, -118.205246)",Los Angeles,
