Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Contact Name,Contact Number,Supervisor District,Year
Modal Tease String Band,Malibu Library,08/15/2015,2:00 PM,4:00 PM,Malibu Library,"23519 W. Civic Center Way
Malibu, CA 90265
(34.036429310000074, -118.68853061599998)",Melissa Stallings,310-456-6438,5,2015
Cunao,City of South El Monte,08/13/2015,6:00 PM,7:00 PM,Mary Van Dyke Park,"1819 Central Ave.
South El Monte, CA 91733
(34.04967015500006, -118.04695224199997)",Ariana Yanez,626-579-2043,5,2015
Sgt. Pepper,City of Sierra Madre,07/19/2015,6:00 PM,8:00 PM,Memorial Park,"222 W. Sierra Madre Blvd.
Sierra Madre, CA 91024
(34.16184363800005, -118.05713956499994)",Adam Matsumoto,626-355-7135 ext 703,4,2015
The Jumpin' Joz Band,Downtown Pomona Owners Association,08/08/2015,6:00 PM,9:00 PM,Officer Shaun Diamond Plaza,"201 W. 2nd Street
Pomona, CA 91766
(34.05787785900003, -117.74882006299998)",Linda Farman,909-469-1121,4,2015
The Singer and The Songwriter,Pamela County Park,08/13/2015,6:00 PM,8:00 PM,Pamela County Park,"2236 Goodall Avenue
Duarte, CA 91010
(34.12299791300006, -117.99443123699996)",Irving Montenegro,626-821-4619 or 626-357-1619,5,2015
Buyepongo,Santa Clarita Shakespeare Festival,07/11/2015,7:30 PM,9:30 PM,Rivendale Site in Towsley Canyon,"24255 The Old Road
Newhall, CA 91321
(34.35639675500005, -118.55436764899997)",David Stears,661-799-3378,5,2015
Viento Callejero,City of Maywood,08/29/2015,8:00 PM,9:00 PM,Riverfront Park,"5000 Slauson Ave
Maywood, CA 90270
(33.985974902000066, -118.17414215699995)",Aldo Perez,323-562-5744,2,2015
The Echo Park Project,"City of San Fernando, Inc.",08/30/2015,6:30 PM,8:30 PM,San Fernando Recreation Park,"208 Park Ave.
San Fernando, CA 91340
(34.28122694700005, -118.43431251499999)",Jazmyn Jasso,818-361-7155,1,2015
Upstream,San Gabriel Library,09/12/2015,2:00 PM,4:00 PM,San Gabriel Library,"500 S Del Mar Avenue
San Gabriel, CA 91776
(34.09538002200003, -118.09954584099995)",Lisa Zimmerman,626-287-0761,5,2015
Andres Flores y Los Hijos de Jose,Saybrook Park,07/25/2015,5:00 PM,7:00 PM,Saybrook Park,"6250 East Northside Drive
Los Angeles, CA 90022
(34.01422917300005, -118.13688792399995)",Maria Chavez,323-724-8546,1,2015
Jason Arimoto,USC Pacific Asia Museum,08/09/2015,2:00 PM,4:00 PM,USC Pacific Asia Museum,"46 N. Los Robles Ave.
Pasadena, CA 91101
(34.14673146200005, -118.14140593399998)",Sandra Chen Lau,626-449-2742,5,2015
Michael Haggins Group,Adventure Park,08/18/2015,6:00 PM,8:00 PM,Adventure Park,"10130 Gunn Ave
Whittier, CA 90605
(33.94229592700003, -118.037766251)",Dingo Cabral,562-698-7645,3,2015
Conjunto Los Pochos,City of Artesia ,08/06/2015,6:30 PM,8:00 PM,AJ Padelford Park,"11870 169th st
Artesia, CA 90701
(33.87740287200006, -118.07992939499997)",Jose Martinez,562-407-1723,1,2015
Buyepongo,Amelia Mayberry  Park,08/04/2015,6:00 PM,8:00 PM,Amelia Mayberry Park,"13201 E. Meyer Rd.
Whittier, CA 90605
(33.928909289000046, -118.05080865999997)",Marisela Mena,562-944-9727,4,2015
Marisa Ronstadt & the Know-It-Alls,Angelo M. Iacoboni Library,08/08/2015,2:00 PM,3:00 PM,Angelo M. Iacoboni Library,"4990 Clark Avenue
Lakewood, CA 90712
(33.849729671000034, -118.13374671699995)",Robert Kitagawa,562-866-1770,1,2015
Upstream,Anthony Quinn Public Library,08/04/2015,4:00 PM,5:00 PM,Anthony Quinn Public Library,"3965 Cesar E. Chavez Ave.
Los Angeles, CA 90063
(34.040587870000024, -118.18011914599998)",Maribel Lopez,323-264-7715,2,2015
Gyasi Ross,Apollo Park ,07/25/2015,6:00 PM,8:00 PM,Apollo Park,"4555 West Ave G
Lancaster, CA 93536
(34.73316880300007, -118.21065002599994)",Jeff Dorst,661-940-7701,5,2015
Mariachi Divas,City of El Monte,07/15/2015,6:30 PM,8:30 PM,Arceo Park,"3125 Tyler Avenue
El Monte, CA 91731
(34.06517166800006, -118.03596588299996)",Amber Servin,626-258-8689,1,2015
Viento Callejero,City of Bell,08/20/2015,7:00 PM,9:00 PM,Bell Community Center/Treder Park,"6250 Pine Ave.
Bell, CA 90201
(33.979998625000064, -118.18877255999996)",Connie Hurtado,323-773-1596,5,2015
Andres Flores y Hijos de Jose,Bell Library,07/11/2015,2:00 PM,3:00 PM,Bell Library-County of Los Angeles,"4411 E. Gage Avenue
Bell, CA 90201
(33.978227219000075, -118.18866300599996)",Gabriela Torres,323-560-2149,1,2015
Orquesta Charangoa,Burton Chace Park,10/11/2015,1:00 PM,3:00 PM,Burton Chase Park,"13650 Mindanao Way
Marina Del Rey, CA 90292
(33.97939479200005, -118.44086669399996)",Monica-Sarah Roldan,310-305-9548,4,2015
Marisa Ronstadt & The Know it Alls,Campanella Park ,07/11/2015,6:00 PM,8:00 PM,Campanella Park,"14812 Stanford Ave.
Compton, CA 90220
(33.898508065000044, -118.26114760399997)",Craig Newman,310-603-3720,2,2015
Domingosiete,City of Whittier,07/13/2015,7:00 PM,8:30 PM,Central Park,"6532 Friends Avenue
Whittier, CA 90602
(33.98161980900005, -118.03379528699998)",Virginia Santana,562-567-9414,4,2015
Conjunto Jardin,City of Lancaster,07/23/2015,6:00 PM,8:00 PM,Lancaster BLVD - Bandstand Stage,"706 W. Lancaster Blvd
Lancaster, CA 93534
(34.69767311800007, -118.14267690099996)",Angela Riley,661-723-6074,5,2015
Finger Dancers,La Verne Library,07/11/2015,2:00 PM,3:00 PM,La Verne Library,"3640 D St
La Verne, CA 91750
(34.11189798200007, -117.76566987999996)",Tom Cornicelli,909-596-1934,5,2015
Chris Ho Band,Pearblossom Park,07/17/2015,6:00 PM,8:00 PM,Pearblossom Park,"33922 N 121st East
Pearblossom, CA 93553
(34.501416809000034, -117.91407997599998)",Jeff Dorst,661-940-7701,2,2015
Big Papa and the TCB,Steinmetz Park,09/17/2015,6:00 PM,8:00 PM,Steinmetz Park,"1545 S. Stimson Ave
Hacienda Heights, CA 91745
(34.002516479000064, -117.95988697999996)",Margaret Trujillo,626-934-7041 or 714-269-6805,5,2015
The Jumpin' Joz Band,City of Culver City,08/29/2015,7:00 PM,9:00 PM,Veterans Park,"4117 Overland Avenue
Culver City, CA 90230
(34.01215992500005, -118.40095165199995)",Susan Obrow,310-253-6628,3,2015
Orquesta Charangoa,Whittier Narrows Recreation Area,09/18/2015,6:30 PM,9:30 PM,Whittier Narrows Recreation Area,"750 Santa Anita Ave
South El Monte, CA 91733
(34.03471332000004, -118.05403504199995)",David Jallo,626-258-7161,4,2015
Mariachi Divas,City of Baldwin Park,07/23/2015,7:00 PM,9:00 PM,Cesar E. Chavez Amphitheater (Morgan Park),"4100 Baldwin Park Blvd.
Baldwin Park, CA 91706
(34.085691041000075, -117.96478718599997)",April Nava,626-813-5245 ext 302,5,2015
Maria del Pilar,Charles White Park ,08/07/2015,6:30 PM,7:30 PM,Charles White Park,"77 Mountain View St
Altadena, CA 91001
(34.18766742500003, -118.15252084499997)",Meliza Hernandez,626-398-5451,4,2015
Mariachi Divas,City of Norwalk,08/05/2015,7:00 PM,9:00 PM,City of Norwalk Civic Center Lawn,"12700 Norwalk Boulevard
Norwalk, CA 90650
(33.915496148000045, -118.07248500999998)",Blanche Grove,562-929-5519,1,2015
George Sarah Ensemble,dA Center for the ARTS,08/15/2015,8:00 PM,9:30 PM,dA Center for the Arts,"252 S Main Street
Pomona, CA 91766
(34.057285947000025, -117.75228077399998)",Margaret Aichele,909-397-9716,1,2015
Susie Hansen Latin Band,City Terrace Park,07/30/2015,7:00 PM,9:00 PM,City Terrace Park,"1126 N. Hazard Ave
Los Angeles, CA 90063
(34.05094342700005, -118.178986453)",Alice Gonzales,323-260-2371,5,2015
El Haru Kuroi,Eagle Rock Cultural Association,10/03/2015,6:00 PM,8:00 PM,Colorado Blvd.,"Colorado Blvd.
Los Angeles, CA 90041
(34.13926229700007, -118.21125022899997)",Melinda Ann Farrell,323-561-3044,5,2015
Red Hill Quartet,Monteith Park  ,08/16/2015,2:30 PM,5:30 PM,Monteith Park,"Monteith Dr &amp; Olympiad Blvd.
Los Angeles, CA 90043
(33.986730529000056, -118.33290641499997)",Kevin Murray,310-603-8307,1,2015
Sgt. Pepper,City of Covina ,07/20/2015,7:30 PM,9:00 PM,Covina Park,"301 N. Fourth Avenue
Covina, CA 91723
(34.083810491000065, -117.89450174899997)",Melody Hynes,626-384-5344,5,2015
Buyepongo,City of Duarte,07/22/2015,6:30 PM,8:30 PM,Duarte Park,"1344 Bloomdale Ave
Duarte, CA 91010
(34.13746365900005, -117.97646946799995)",Lupe Valerio,(626)357-7931,2,2015
Conjunto Jardin,East Rancho Park,08/22/2015,1:00 PM,3:00 PM,East Rancho Park,"15116 S. Atlantic Blvd.
Compton, CA 90221
(33.89552250300005, -118.19329664099996)",Louie Guerrero,310-217-8376,1,2015
Najite & Olokun Prophecy,LA Commons,06/28/2015,6:00 PM,8:00 PM,Leimert Park Plaza and Park,"4343 Leimert Blvd
Los Angeles, CA 90008
(34.00459666000006, -118.33052372599997)",Heather Hoggan,323-363-1206,2,2015
Big Papa and the TCB,Leland R. Weaver Library,08/01/2015,1:00 PM,1:45 PM,Leland R. Weaver Library,"4035 Tweedy Blvd.
South Gate, CA 90280
(33.943788131000076, -118.20158615699995)",Grisel Oquendo,323-567-8856,1,2015
Bobby Matos Afro Latin Jazz Ensemble,Los Angeles County Museum of Art,07/25/2015,5:00 PM,7:00 PM,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.062717442000064, -118.35883690399999)",Claire Kim,323-857-6115,2,2015
Sgt. Pepper,CIty of Gardena ,10/03/2015,12:00 PM,2:30 PM,Nakaoka Community Center,"1670 West 162nd Street
Gardena, CA 90247
(33.88376634100007, -118.30650769599998)",Evette Wedlow-Benjamin,310-217-6175,4,2015
Buyepongo ,"City of Lynwood, Recreation Department",08/06/2016,7:00 PM,8:30 PM,Burke-Ham Park,"11832 Atlantic Avenue (at Agnes Ave
Lynwood, CA 90262
",Mark Flores,310-603-0220,2,2016
Andres Flores y Los Hijos de Jose,County of Los Angeles Public Library - Graham Library,08/07/2016,4:00 PM,5:00 PM,Graham Library-County of Los Angeles Public Library,"1900 East Firestone Avenue
Los Angeles, CA 90001
",Gabriela Torres,3235822903,2,2016
Dawn Norlfeet,L.A. County Department of Parks and Recreation ,08/21/2016,3:00 PM,5:00 PM,Monteith Park ,"Monteith Drive
Los Angeles, CA 90043
",Kevin Murray,323-298-6038,2,2016
The Eric Ekstrand Ensemble ,Los Angeles County Department of Parks and Recreation,09/17/2016,6:00 PM,10:00 PM,West Creek Park,"24247 Village Circle W
Saugus, CA 91354
",Leah Ferrassoli,661-775-0823,5,2016
Evan Brown,Tesoro Adobe Historic Park,09/03/2016,6:00 PM,8:00 PM,Tesoro Adobe Historic Park,"29350 Avenida
Valencia, CA 91354
",Amanda Falk,661-702-8953,5,2016
Kenny Sara & The Sounds of New Orleans,City of Burbank Cultural Arts Commission,09/24/2016,4:00 PM,7:00 PM,Johnny Carson Park,"4000 South Bob Hope Drive
Burbank, CA 91505
",Cynthia Pease,818-257-0733,5,2016
Mahadev,County of Los Angeles Public Library - Stevenson Ranch Library,06/18/2016,2:00 PM,3:00 PM,Stevenson Ranch Library,"25950 The Old Road
Stevenson Ranch, CA 91381
(34.392288, -118.573962)",Matt Gill,661-255-2707,5,2016
Brasil Brazil,County of Los Angeles Public Library - Norwalk Library,07/30/2016,1:00 PM,2:00 PM,Norwalk Library,"12350 Imperial Hwy
Norwalk, CA 90650
(33.917078, -118.069236)",Andrea Crow,562-868-0775,4,2016
Floyd & the Flyboys,Los Angeles County Department of Parks and Recreation,07/22/2016,7:00 PM,9:00 PM,Stephen Sorensen Park,"16801 East Avenue
Lake Los Angeles, CA 93591
(34.616496, -117.82993)",Jeff Dorst,661-940-7701,5,2016
Viento Callejero,City of Bell,08/25/2016,7:00 PM,9:00 PM,Treder Park,"6250 Pine Ave
Bell, CA 90201
(33.979983, -118.188847)",Gabino C. Luna,323-773-1596,1,2016
Buyepongo,"City of San Fernando, Inc.",08/28/2016,6:30 PM,8:30 PM,San Fernando Recreation Park,"208 Park Ave
San Fernando, CA 91340
(34.281101, -118.434588)",Virginia Diediker,818-361-7155,3,2016
Dale Fielder Quartet,Museum Associates dba LA County Museum of Art,08/05/2016,6:00 PM,8:00 PM,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",Claire Kim-Shin,323-857-6115,3,2016
Jason Arimoto,Sorensen Library,10/12/2016,3:00 PM,4:00 PM,Sorensen Library,"6934 Broadway Ave
Whittier, CA 90606
(33.979664, -118.062738)",Muoy Li,562-695-3979,4,2016
Lisa Haley & the Zydekats,City of Torrance,07/23/2016,4:00 PM,6:00 PM,Columbia Park,"4045 190th Street
Torrance, CA 90503
(33.858295, -118.344404)",Eve Rappoport,310-618-2380,4,2016
ADAAWE,Community Partners FBO LA Commons,06/26/2016,7:00 PM,8:00 PM,Leimert Park Plaza and Park,"4343 Leimert Blvd
Los Angeles, CA 90008
(34.005051, -118.330168)",Mamie Funahashi,213-346-3202,2,2016
Shane Henry,City of La Mirada,07/28/2016,6:30 PM,8:30 PM,La Mirada Creek Park,"12021 Santa Gertrudes Avenue
La Mirada, CA 90638
(33.922716, -117.994394)",Lisa Montoya,562-902-3125,4,2016
Murphy's Flaw,Los Angeles County Department of Parks and Recreation,08/02/2016,6:00 PM,8:00 PM,Adventure County Park,"10130 Gunn Ave
Whittier, CA 90605
(33.943066, -118.036384)",Dingo Cabral,562-698-7645,4,2016
UPSTREAM,Altadena Library District,10/08/2016,6:30 PM,8:30 PM,Altadena Library,"600 E Mariposa St
Altadena, CA 91001
(34.189559, -118.137033)",Mindy Kittay,626-798-0833,5,2016
Susie Hansen Latin Band,Los Angeles County Department of Beaches & Harbors,10/09/2016,11:00 AM,4:00 PM,Burton Chace Park,"13650 Mindanao Way
Marina del Rey, CA 90292
(33.977946, -118.444032)",Monica-Sarah Roldan,310-305-9548,4,2016
Upstream ,City of Culver City,08/26/2016,4:30 PM,5:30 PM,Veterans Park,"4117 Overland Avenue
Culver City, CA 90230
(34.0134, -118.402106)",Susan Obrow,310-253-6628,2,2016
Conjunto Jardín,Arcadia County Park,07/14/2016,6:00 PM,8:00 PM,Pamela County Park,"2236 Goodall Ave
Duarte, CA 91010
(34.123518, -117.994284)",Irving Montenegro,626-821-4619,5,2016
Finger Dancers,County of Los Angeles Public Library,09/03/2016,2:00 PM,4:00 PM,La Crescenta Library,"2809 Foothill Blvd
La Crescenta, CA 91214
(34.224587, -118.240654)",Marta Wiggins,818-248-5314,5,2016
Incendio,"City of Glendale, Community Services and Parks Department",08/03/2016,6:30 PM,8:30 PM,Verdugo Park,"1621 Canada Blvd
Glendale, CA 91208
(34.17129, -118.229119)",Sevag Garabetian,818-548-3773,5,2016
Viento Callejero,Los Angeles County Departmant of Parks and Recreation - Salazar Park,08/11/2016,7:00 PM,9:00 PM,Salazar Park,"3864 Whittier Blvd
Los Angeles, CA 90023
(34.023918, -118.189997)",Lizette Andrade,323-260-2330,1,2016
Whiskey Sunday,Santa Clarita Shakespeare Festival,07/17/2016,4:00 PM,9:00 PM,Rivendale Park & Open Space,"24255 The Old Road
Santa Clarita, CA 91321
(34.356585, -118.554443)",David Stears,661-799-3378,5,2016
Big Papa and The TCB,Hacienda Heights Community Center,08/12/2016,6:00 PM,8:00 PM,Hacienda Heights Community Center,"1234 Valencia Ave
Hacienda Heights, CA 91745
(34.013208, -117.979297)",Olivia Perea,626-333-3250,4,2016
El-Haru Kuroi,Global Spirit 21,08/20/2016,2:00 PM,4:00 PM,The Whole Place @ First Christian Church,"6355 Greenleaf Ave
Whittier, CA 90601
(33.983017, -118.037358)",Ted Knoll,562-652-9323,4,2016
"Mark ""Pocket"" Goldberg ",Los Angeles County Department of Parks and Recreation,07/16/2016,7:00 PM,9:00 PM,George Lane Park,"5520 W Avenue
Quartz Hill, CA 93536
(34.6416, -118.22816)",Jeff Dorst,661-940-7701,5,2016
Mariachi Espectacular,City of La Puente,07/27/2016,6:30 PM,8:30 PM,La Puente Park,"501 N Glendora Ave
La Puente, CA 91744
(34.026159, -117.951127)",Angel Morales,626-855-1558,1,2016
Shane Henry,Tree People Inc and Koffeehouse Music,08/07/2016,8:00 PM,11:00 PM,Tree People S. Mark Taper Foundation Amphitheatre,"12601 Mulholland Drive
Beverly Hills, CA 90210
(34.129406, -118.407439)",Jeremy Koff,818-219-6273,3,2016
De'Anza ,Montebello Library,07/30/2016,2:00 PM,3:00 PM,Montebello Library,"1550 W Beverly Blvd
Montebello, CA 90650
(34.019309, -118.115798)",Beth Krupsaw,323-722-6551,1,2016
Chuck Johnson/CJS Quartet,City of Manhattan Beach,10/22/2016,6:00 PM,8:00 PM,Josyln Community Center,"1601 Valley Drive
Manhattan Beach, CA 90266
(33.888489, -118.409509)",Martin Betz,424-634-0857,4,2016
City of Angels Saxophone Quartet,Malibu Library,10/21/2016,3:30 PM,4:30 PM,Malibu Library,"23519 W Civic Center Way
Malibu, CA 90265
(34.036298, -118.689131)",Melissa Stallings,310-456-6438,3,2016
Opa Opa,"City of Azusa, Recreation and Family Services Department",08/25/2016,7:00 PM,9:00 PM,Memorial Park,"320 N Orange Pl
Azusa, CA 91702
(34.127075, -117.913564)",Adrian Martinez,626-812-5195,1,2016
"INCA, the Peruvian Ensemble",Lawndale Library,08/06/2016,1:00 PM,2:00 PM,Lawndale Library,"14615 Burin Avenue
Lawndale, CA 90260
(33.898831, -118.353778)",Don Gould,310-676-0178,2,2016
Paddy's Pig,Pasadena Senior Center,08/02/2016,6:00 PM,7:00 PM,Memorial Park Bandshell,"85 E Holly Street
Pasadena, CA 91103
(34.147641, -118.148636)",Cynthia Rosedale,626-685-6759,5,2016
Cuicani,McGroarty Arts Center,08/19/2016,7:00 PM,9:00 PM,McGroarty Arts Center,"7570 McGroarty Terrace
Tujunga, CA 91042
(34.250714, -118.297889)",Robyn Myers,818-352-0865,5,2016
The Lorie Andrews JazHarp Band,Los Angeles County Department of Parks and Recreation,08/06/2016,7:00 PM,9:00 PM,Jackie  Robinson Park,"8773 East Avenue
Littlerock, CA 93543
(34.523305, -117.973721)",Jeff Dorst,661-940-7701,5,2016
Yari Moré Latin Band,City of San Gabriel - San Gabriel Mission Playhouse,09/16/2016,7:00 PM,9:00 PM,San Gabriel Mission Playhouse,"320 S Mission Drive
San Gabriel, CA 91776
(34.098528, -118.109198)",Jonathan Salisbury,626-308-2865,5,2016
Mariachi Divas,City of Duarte,07/27/2016,6:30 PM,8:30 PM,Duarte Park,"1344 Bloomdale Ave
Duarte, CA 91010
(34.137459, -117.976472)",Lupe Valerio,626-357-7931,5,2016
Jungle Fire,Los Angeles County Department of Parks and Recreation,08/04/2016,6:00 PM,8:00 PM,Pathfinder Park,"18150 E Pathfinder Road
Rowland Heights, CA 91748
(33.967898, -117.912511)",Tim Tuyen,562-691-1624,4,2016
Viento Callejero,LAC USC Medical Center Foundation,10/01/2016,1:00 PM,2:30 PM,LAC USC Medical Center /The Wellness Center,"1200 N State Street
Los Angeles, CA 90033
(34.06078, -118.20895)",Rosa Soto,213-784-9252,1,2016
Wildwood Highway ,South Pasadena Arts Council,10/06/2016,5:00 PM,6:30 PM,South Pasadena Public Library,"1115 El Centro Street
South Pasadena, CA 91030
(34.11475, -118.154975)",Howard Spector,310-741-7650,5,2016
Maggie McClure,County of Los Angeles Public Library,07/30/2016,2:00 PM,3:00 PM,La Verne Library,"3640 D St
La Verne, CA 91750
(34.111919, -117.765729)",Thomas Cornicelli,909-596-1934,5,2016
